11d15b49-4552-4200-a133-09abe6d95d55
Jersey|Hits|Singles|Doubles|Triples|HomeRuns|RunsBattedIn|Runs|AtBats|BaseOnBalls|StruckOut|HitByPitch|FieldersChoice|StolenBase|StolenBaseAttempts|ReachedOnError|SacrificeBunt|SacrificeFly|EarnedRuns|RunsAgainst|HomeRunsAgainst|BattersFaced|BattersStruckOut|BaseOnBallsAgainst|HitsAgainst|HitBatter|WildPitches|Appearances|InningsPitched|PartialInningPitched|NumberOfPitches
3|1|0|0|1|0|0|1|2|1|1|0|0|1|1|0|0|0|7|9|0|13|0|2|3|3|3|1|1|1|52
44|0|0|0|0|0|0|0|2|0|1|1|0|0|0|0|0|0|||||||||||||
13||||||||||||||||||||||||||||||
1|0|0|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|||||||||||||
00|0|0|0|0|0|0|0|2|1|2|0|0|0|0|0|0|0|3|4|0|13|1|3|3|0|0|1|2|0|51
23|1|1|0|0|0|0|0|2|1|1|0|0|1|1|0|0|0|||||||||||||
7|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|||||||||||||
10|0|0|0|0|0|0|1|1|2|1|0|0|0|0|0|0|0|||||||||||||
24|0|0|0|0|0|0|0|3|0|2|0|0|0|0|0|0|0|||||||||||||
12|0|0|0|0|0|0|1|0|1|0|0|0|1|2|0|0|0|||||||||||||
22|0|0|0|0|0|0|0|3|0|2|0|1|0|0|0|0|0|4|4|1|8|0|1|4|2|0|1|0|0|24
